Line, Expression, Evaluation
1, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 - 2*g12*g23^2 + 6*g12*g23>0, True
2, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 - 4*g12 - 4*g23 + 12>0, True
3, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12*g23^2>0, True
4, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23^2 + 2*g12*g23 + g23>0, True
5, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12*g23>0, True
6, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23 + 3>0, True
7, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 - 2*g12*g23 + 2*g12 + 1>0, True
8, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 + g12^2 - 2*g12*g23^2 + 2*g12*g23>0, True
9, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g23>0, True
10, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 + g12^2>0, True
11, g12<1 && g12>0 && g23<1 && g23>0, -2*g12 - 2*g23 + 4>0, True
12, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2>0, True
13, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, True
14, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + g12^2 - g12*g23 + 2*g12>0, True
15, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 - 2*g12 - 2*g23 + 6>0, True
16, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23 - 3*g12 - 3*g23 + 9>0, True
17, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 + 4*g23>0, True
18, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2 - 6*g12*g23^2 + 4*g12*g23 + 2*g12>0, True
19, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + g12^2 - g12*g23 + 2*g12>0, True
20, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23^2 + 2*g12^2*g23 + g12^2>0, True
21, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - g12*g23^2 + 3*g12*g23 - g23^2 + g23>0, True
22, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 - 2*g12*g23 + 2*g12 + 1>0, True
23, g12<1 && g12>0 && g23<1 && g23>0, 2 - 2*g12>0, True
24, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - g12*g23^2 + 3*g12*g23>0, True
25, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - 4*g12*g23 + 4*g23 + 2>0, True
26, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2 - 2*g12*g23 + 4*g12 - 2*g23^2 + 2*g23>0, True
27, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g12>0, True
28, g12<1 && g12>0 && g23<1 && g23>0, -g12^2 - 3*g12*g23 + 3*g12 - g23 + 2>0, True
29, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23^2 + 2*g12*g23 + 1>0, True
30, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + g12*g23^2 + g12*g23>0, True
31, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12*g23>0, True
32, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 + 4*g12^2>0, True
33, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12*g23>0, True
34, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23 + 1>0, True
35, g12<1 && g12>0 && g23<1 && g23>0, 1 - g23>0, True
36, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 + 4*g12>0, True
37, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, True
38, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, True
39, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2>0, True
40, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, True
41, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12*g23>0, True
42, g12<1 && g12>0 && g23<1 && g23>0, -g12^2 - 3*g12*g23 + 3*g12 - g23 + 2>0, True
43, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23 - 3*g12*g23^2 + 3*g12*g23 + 2*g12 + g23>0, True
44, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + 1>0, True
45, g12<1 && g12>0 && g23<1 && g23>0, -6*g12^2*g23 - 6*g12*g23^2 + 6*g12*g23 + 4*g12 + 2*g23>0, True
46, g12<1 && g12>0 && g23<1 && g23>0, -g12^2 - g12*g23 + 2*g12 - g23^2 + g23>0, True
47, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2>0, True
48, g12<1 && g12>0 && g23<1 && g23>0, -6*g12^2*g23 + 3*g12^2 - 3*g12*g23 + 6*g12>0, True
49, g12<1 && g12>0 && g23<1 && g23>0, -g12 - g23 + 2>0, True
50, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + g12^2 - g12*g23 + 2*g12>0, True
51, g12<1 && g12>0 && g23<1 && g23>0, -4*g12 - 4*g23 + 8>0, True
52, g12<1 && g12>0 && g23<1 && g23>0, -g12 - g23 + 2>0, True
53, g12<1 && g12>0 && g23<1 && g23>0, -8*g12*g23 - 2*g12 - 3*g23^2 + 8*g23 + 5>0, True
54, g12<1 && g12>0 && g23<1 && g23>0, -3*g12 - 3*g23 + 6>0, True
55, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + g12*g23^2 + g12*g23>0, True
56, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23^2 - 2*g12*g23 + 2*g23 + 1>0, True
57, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g12>0, True
58, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23 - g12 - g23 + 3>0, True
59, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23 - g12 - g23^2 + 3*g23 + 2>0, True
60, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23^2 + g23>0, True
61, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2 - 6*g12*g23 + 6*g12 - 2*g23 + 4>0, True
62, g12<1 && g12>0 && g23<1 && g23>0, -g12 - g23 + 2>0, True
63, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12*g23^2>0, True
64, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12^2*g23>0, True
65, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2 - 6*g12*g23 + 6*g12 - 2*g23 + 4>0, True
66, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2>0, True
67, g12<1 && g12>0 && g23<1 && g23>0, 4 - 4*g23>0, True
68, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 + g12^2>0, True
69, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23^2 + 2*g12^2*g23 + 2*g12*g23>0, True
70, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 - g23^2 + 2*g23 + 1>0, True
71, g12<1 && g12>0 && g23<1 && g23>0, -8*g12^2*g23 + 4*g12^2 - 4*g12*g23 + 8*g12>0, True
72, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23^2 - g12*g23 + g23 + 1>0, True
73, g12<1 && g12>0 && g23<1 && g23>0, 1 - g23>0, True
74, g12<1 && g12>0 && g23<1 && g23>0, 1 - g12>0, True
75, g12<1 && g12>0 && g23<1 && g23>0, -6*g12*g23 + 6*g12>0, True
76, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + g12^2*g23 + g12*g23>0, True
77, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - g12*g23 + g23^2 + 2*g23>0, True
78, g12<1 && g12>0 && g23<1 && g23>0, 2 - 2*g23>0, True
79, g12<1 && g12>0 && g23<1 && g23>0, 3 - 3*g23>0, True
80, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23^2 + g23^2>0, True
81, g12<1 && g12>0 && g23<1 && g23>0, -6*g12^2*g23 + 3*g12^2 - 3*g12*g23 + 6*g12>0, True
82, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - 4*g12*g23 + 4*g23 + 2>0, True
83, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12*g23>0, True
84, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 + 2*g12^2 - 2*g12*g23 + 4*g12>0, True
85, g12<1 && g12>0 && g23<1 && g23>0, 1 - g23^2>0, True
86, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23 - g12 - g23 + 3>0, True
87, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23 - 6*g12*g23 + 6*g12 + 3>0, True
88, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23^2 - g12*g23 + g23 + 1>0, True
89, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23 + 3>0, True
90, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, True
91, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2 - 12*g12*g23 + 12*g12 - 4*g23 + 8>0, True
92, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g23>0, True
